Legacy Action,Apply,Spawn,Motion,Behavior,Shape,Offset,Collision,What it does,Clarify more
Auto-Attack (ranged),Hitbox,at-User,Projectile,Homing,specify elsewhere,centred,Target-Only,Basic attack on the aimed enemy.,"Only ever a SUMMON acting on its own (Azir's Sand Soldier, Soraka's Child of the Star) - read Action Source. The champion's OWN attack is never this: it is a TRIGGER ('On Attack'), and what rides on it is 'Bonus on AA'. SHAPE IS PER-ROW: a projectile's own hitbox is in the row's AOE (hex) — a 1-hex bolt for most, Box 1.5x2 for Sona's wave. And it is the PROJECTILE's shape, never the shape of anything it bursts into: a burst is a separate step (trigger 'On Projectile Hit', source 'Step N Projectile')."
Homing Projectile,Hitbox,at-User,Projectile,Homing,specify elsewhere,centred,Target-Only,Fires a projectile that homes on the aim target and applies its effect to it.,"Has travel speed. Nothing on the way is touched - the projectile tracks the target until it lands. SHAPE IS PER-ROW: a projectile's own hitbox is in the row's AOE (hex) — 'default' is the ordinary 1-hex bolt, Box 1.5x2 for Sona's wave. And it is the PROJECTILE's shape, never the shape of anything it bursts into: a burst is a separate step (trigger 'On Projectile Hit', source 'Step N Projectile')."
Bounce Homing Projectile,Hitbox,at-User,Projectile,Homing,specify elsewhere,centred,Target-Only,"Fires ONE projectile that homes on the aim target; on hitting it, it re-homes on the next-nearest enemy, chaining Count times.","Count is the number of ENEMIES HIT (bounces) — one projectile that keeps re-targeting, NOT N simultaneous instances (which is what a Spread arranges). Katarina's 3-bounce blade; Zeri's chain lightning. Collision Target-Only: each hop touches only the unit it re-homed onto, nothing in between. Its OWN action rather than a Spread, because the bounce is a property of the DELIVERY, not an arrangement of copies — the user's call: 'putting Bounce chain as a spread means I can't have same-target + bounce in one row, which is wrong.' Shape per-row like every projectile; 1-hex is the default, so its AOE reads 'default'."
First hit Projectile,Hitbox,at-User,Projectile,First-Hit,specify elsewhere,centred,First-Hit,Fires a projectile that stops on the FIRST unit it hits.,"Has travel speed. SHAPE IS PER-ROW: a projectile's own hitbox is in the row's AOE (hex) — a 1-hex bolt for most, Box 1.5x2 for Sona's wave. And it is the PROJECTILE's shape, never the shape of anything it bursts into: a burst is a separate step (trigger 'On Projectile Hit', source 'Step N Projectile')."
Pierce Projectile,Hitbox,at-User,Projectile,Pierce,specify elsewhere,centred,Pierce-All,"Fires a projectile that passes THROUGH every unit in its path, hitting all of them.","Has travel speed. Replaced the old 'Wave', which was a duplicate of it. SHAPE IS PER-ROW: a projectile's own hitbox is in the row's AOE (hex) — a 1-hex bolt for most, Box 1.5x2 for Sona's wave. And it is the PROJECTILE's shape, never the shape of anything it bursts into: a burst is a separate step (trigger 'On Projectile Hit', source 'Step N Projectile')."
Gilgamesh Projectile,Hitbox,at-User,Projectile,Pierce,specify elsewhere,rank -1,Pierce-All,"The Count instances are arrayed in a ROW behind the caster and fire from their own slots, each piercing through the aim target and on into whatever is behind it.","Xayah's featherstrike. The user's name, and the user's call - 'how it look visually is so different from the other'. Mechanically it IS a Pierce Projectile with one axis changed: the anchor is fixed at 'rank -1' rather than 'centred', so the feathers are created behind her back rather than coming off her body. That is why it is its own action instead of a per-row Offset: Pierce Projectile's anchor is FIXED at centred, so one champion overriding it in Hero would have made this tab lie - Jhin, Sona and Quinn really are centred. Because each instance starts in a DIFFERENT slot and they all converge on ONE target (Spread = 'Same target'), they arrive at different angles and carry on through at different angles: a neat rank FANS OUT behind the target, which is the whole point and is testable. Shape is per-row, as with every projectile."
Spawn At Target,Hitbox,at-Target,—,—,1-hex,centred,Target-Only,The hitbox appears directly ON the aim target's hex - nothing is fired and nothing travels.,"Single-target on-target spawn only. The AOE-shaped 'spawn on target' cases moved to the shape templates (Circle/Box/Custom AOE), whose centre is derived from Aim Target the same way — nothing travels, so nothing between is touched."
Circle AOE,Hitbox,at-Target,—,—,circle,per row,Area,Affects everyone inside an X-hex circle (X = the AOE (hex) column).,"Centre is DERIVED from Action Source + Aim Target — the caster's hex when Aim=Self, the target's hex otherwise. The Offset column places the circle relative to that centre (usually 'centred'). Replaced the old 'Melee AOE' idea: a self-aimed Circle AOE already IS the melee case."
Cone AOE,Hitbox,at-Target,—,—,cone,rear edge,Area,"A cone-shaped hitbox projected in front of the caster, switched on when the skill is cast; everyone inside the cone is hit.","A real cone-shaped collider. Its origin is the caster's hex at the NARROW end and the shape grows AWAY from it, so the anchor is 'rear edge' - the user's call, with the picture: xxx / x / o. It read 'front edge' until then, which was backwards; that label's own definition used a cone as its example, which is how the error survived so long. Centre is derived from Action Source + Aim Target."
Box AOE,Hitbox,at-Target,—,—,box,per row,Area,A rectangular AOE hitbox. Size in AOE (hex); the Offset column says where the box sits relative to its centre (see the 'Offset Types' tab).,One delivery with Circle/Cone — they differ only in Shape and the AOE size; centre is derived from Action Source + Aim Target.
Custom AOE,Hitbox,at-Target,—,—,custom,per row,Area,An irregular AOE that does not fit Circle/Cone/Box; its shape is described in the AOE (hex) cell. Centre derived from Action Source + Aim Target; Offset as usual.,Use only for genuinely odd shapes. Offset said '—' until 2026-07-17 while its only Hero row said 'centred' - the tab claimed the action places no anchor and the row placed one. 'per row' is what it always meant: an irregular shape's anchor cannot be fixed here.
Laser Shot,Hitbox,at-User,—,—,box,rear edge,Pierce-All,Beam that pierces ALL units in the path but applies its effect ONCE.,NO travel speed - it spawns on the unit and points at the target.
Sweep Laser,Hitbox,at-User,Arc,—,box,rear edge,Pierce-All,"A laser that SWEEPS sideways through an arc while it is out, hitting everything the moving beam passes over.","Gwen's. The cone she appears to make is NOT a cone hitbox - it is this line sweeping, and it only LOOKS like a cone. This is the first action whose hitbox MOVES during the action: Delivery says where a hitbox spawns and Shape says what it is, but neither can say that it travels sideways. Carried in the Shape text for now; it deserves its own column if a second swept action ever appears. Replaced 'Cone Slash', which wrongly modelled the cone as a real collider."
Charge,Hitbox,at-User,—,—,1-hex,centred,Pierce-All,"A unit MOVES, carrying a hitbox: whatever it moves into is hit. The reposition and the hitbox are one action.","THE MOVE IS PART OF IT (2026-07-17, the user's call). It previously moved nothing and had to be paired with a separate 'Move' action - a rule ONE of its three users actually followed: Sion had the Move row, while Gangplank's Dreadway and K'Sante's flying body never did. A rule honoured 1-in-3 is not carrying its weight. KNOWN COST, accepted when the change was made: K'Sante's carrier does NOT move under its own power - his Knock Back throws it - and this action can no longer tell that apart from Sion charging in himself. If that distinction ever earns its keep it becomes a SECOND action, not a column. The CARRIER is whoever Action Source names and need not be the caster: Sion carries it himself; K'Sante's is the ENEMY he smashed (Source = 'Knocked-back enemy'), whose body hits everyone it flies through. Not an AOE - the units hit are exactly the ones the carrier passed through."
