Set,Champion,Cost,Max Mana,Dmg score,Role,Archetype 1,Archetype 2,Current Summary,Why these tags,Your call
S9,Kayle,1,0,135,Marksman,AOE,Shred,Scaling Auto Attacker,collision Pierce-All,
S9,Poppy,1,90,240,Tank,Shield,Single-Target,Shield Tank,collision Target-Only; dmg 240 < 300,
S9,Galio,2,110,300,Tank,AOE,Heal,AOE Damage Tank,collision Area; dmg 300 >= 300,
S9,Garen,3,80,57,Fighter,AOE,—,Beyblade Juggernaut,collision Area; dmg 57 < 300,
S9,Sona,3,80,255,Mage,Utility,AOE,AOE Spell Support,collision Pierce-All,
S9,Jarvan IV,4,180,210,Tank,AOE,Crowd Control,AOE Stun Tank,collision Area; dmg 210 < 300,
S9,Lux,4,40,1100,Mage,Spell Spammer,Shred,Laser Spell Spammer,"mage, max mana 40 <= 60; collision Target-Only",
S9,Cassiopeia,1,30,240,Mage,Spell Spammer,Single-Target,Single-Target Spell Spammer,"mage, max mana 30 <= 60; collision Target-Only",
S9,Samira,1,30,86,Marksman,Shred,Single-Target,Single-Target Shred Marksman,collision First-Hit,
S9,Kled,2,175,0,Tank,—,—,AA Juggernaut,dmg 0 < 300,
S9,Swain,2,135,200,Tank,AOE,—,Transforming AOE Tank,collision Area; dmg 200 < 300,
S9,Darius,3,90,308,Fighter,—,—,Executing Melee Carry,dmg 308 >= 300,
S9,Katarina,3,80,220,Assassin,AOE,—,AOE Wound Assassin,collision Area,
S9,Sion,5,160,164,Tank,AOE,Crowd Control,Charging Stun Tank,collision Pierce-All; dmg 164 < 300,
S9,Irelia,1,80,200,Tank,AOE,Shield,Decaying Shield Tank,collision Area/Pierce-All; dmg 200 < 300,
S9,Jhin,1,114,402,Marksman,AOE,—,Falloff Line Carry,collision Pierce-All,
S9,Sett,2,110,270,Tank,AOE,Crowd Control,Grab-and-Slam Stun Tank,collision Flank-Pair; dmg 270 < 300,
S9,Zed,2,70,234,Assassin,AOE,Summoner,Shadow Twin Assassin,collision Area,
S9,Karma,3,50,300,Mage,Spell Spammer,AOE,Burst Spell Spammer,"mage, max mana 50 <= 60; collision Area/First-Hit",
S9,Shen,4,170,360,Tank,AOE,Shield,Ally-Shielding Burst Tank,collision Area; dmg 360 >= 300,
S9,Yasuo,4,110,685,Assassin,AOE,Heal,Whirlwind Dash Carry,collision Area/Pierce-All,
S9,Ahri,5,50,540,Mage,Spell Spammer,AOE,Essence-Steal Spell Carry,"mage, max mana 50 <= 60; collision Area/Pierce-All",
S9,Renekton,1,110,270,Tank,AOE,Heal,Healing AOE Bruiser,collision Area; dmg 270 < 300,
S9,Taliyah,2,60,510,Mage,Spell Spammer,Crowd Control,Knock-up Punisher Mage,"mage, max mana 60 <= 60; collision First-Hit/Target-Only",
S9,Akshan,3,110,110,Marksman,Snipe Backline,Single-Target,Multi-shot Deadeye,collision First-Hit,
S9,Azir,4,50,230,Marksman,Summoner,Single-Target,Sand Soldier Summoner,collision Target-Only,
S9,Nasus,4,150,228,Tank,Shred,On-Hit,Stat-Stealing Juggernaut,dmg 228 < 300,
S9,K'Sante,5,70,800,Tank,AOE,Heal,Knockback Slam Tank,collision Pierce-All; dmg 800 >= 300,
S9,Ashe,2,70,91,Marksman,Crowd Control,Single-Target,Cone Chill Archer,collision First-Hit,
S9,Lissandra,3,90,240,Mage,AOE,Crowd Control,Stun & Amplify Mage,collision Area,
S9,Sejuani,4,120,240,Tank,AOE,Shield,Chill Enabler Tank,collision Area; dmg 240 < 300,
S9,Orianna,1,70,0,Mage,Shield,—,Shield & Empower Support,,
S9,Vi,2,80,180,Tank,AOE,Shield,Shield & Sunder Bruiser,collision Area; dmg 180 < 300,
S9,Ekko,3,45,380,Assassin,Heal,—,Retroactive-Heal Assassin,,
S9,Jayce,3,80,165,Marksman,Utility,AOE,Flank-Buff Gunner,collision Area/First-Hit,
S9,Viego,1,50,165,Assassin,AOE,—,Stacking Melee Assassin,collision Pierce-All,
S9,Maokai,1,N/A,0,Tank,—,—,Mana-Leeching Healing Tank,dmg 0 < 300,
S9,Kalista,3,80,27,Marksman,Crowd Control,Single-Target,Spear-Stacking Executioner,collision Target-Only,
S9,Gwen,4,35,150,Fighter,AOE,—,Dashing Cone Slayer,collision Pierce-All; dmg 150 < 300,
S9,Senna,5,150,162,Marksman,AOE,Shield,Board-Wide Beam Support,collision Pierce-All,
S9,Soraka,2,90,180,Mage,Heal,Single-Target,Star-Fall Healer,collision Target-Only,
S9,Taric,3,65,0,Tank,Utility,Shield,Damage-Redirecting Shield Tank,dmg 0 < 300,
S9,Aphelios,4,100,161,Marksman,AOE,Heal,Chakram-Stacking Moon Carry,collision Area/Target-Only,
S9,Cho'Gath,1,100,0,Tank,—,—,Devouring Execute Tank,dmg 0 < 300,
S9,Malzahar,1,50,330,Mage,Spell Spammer,AOE,Portal-Zone Mage,"mage, max mana 50 <= 60; collision Pierce-All",
S9,Kassadin,2,100,240,Tank,AOE,Shield,Disarming Shield Tank,collision Area; dmg 240 < 300,
S9,Rek'Sai,3,75,444,Fighter,Heal,—,Marking Execute Bruiser,dmg 444 >= 300,
S9,Vel'Koz,3,60,660,Mage,Spell Spammer,AOE,Splitting Plasma Mage,"mage, max mana 60 <= 60; collision First-Hit/Pierce-All",
S9,Kai'Sa,4,120,120,Marksman,Single-Target,—,Missile-Barrage Carry,collision Target-Only,
S9,Bel'Veth,5,70,98,Fighter,Single-Target,On-Hit,Multi-Lash Empress Carry,collision Target-Only; dmg 98 < 300,
S9,Tristana,1,40,72,Marksman,AOE,On-Hit,Explode-on-Hit Gunner,collision Area,
S9,Teemo,2,50,780,Marksman,AOE,—,Wounding Mushroom Mage,collision Area/Target-Only,
S9,Heimerdinger,5,160,225,Marksman,AOE,Crowd Control,Grenade Stun Artillery,collision Area/Target-Only,
S9,Nilah,4,60,172,Marksman,AOE,Shield,Cone-Auto Duelist,collision Area/Pierce-All,
S9,Miss Fortune,3,50,360,Marksman,AOE,Shred,X-Rain Shield-Breaker,collision Area,
S9,Aatrox,5,50,600,Fighter,AOE,Heal,Transformed AOE Slayer,collision Area; dmg 600 >= 300,
S9,Neeko,4,120,450,Tank,AOE,Shield,Leap-Slam Bastion,collision Area; dmg 450 >= 300,
S9,Qiyana,2,100,200,Assassin,AOE,Crowd Control,Elemental Dash-Line Slayer,collision Pierce-All,
S9,Ryze,5,100,0,Mage,Utility,AOE,Barkskin Zone Invoker,collision Area,
S9,Jinx,2,70,98,Marksman,Single-Target,—,Rocket-Barrage Gunner,collision Target-Only,
S9,Warwick,2,90,0,Fighter,AOE,Heal,Lifesteal Frenzy Juggernaut,collision Area; dmg 0 < 300,
S9,Urgot,4,100,225,Fighter,AOE,Shield,Six-Leg Zoner,collision Area; dmg 225 < 300,
S9,Zeri,4,50,29,Marksman,Single-Target,On-Hit,Chain-Lightning Executioner,collision Target-Only,
S9,Silco,4,30,100,Mage,Spell Spammer,AOE,Chem-Zone Sorcerer,"mage, max mana 30 <= 60; collision Area/Target-Only",
S9,Graves,1,80,155,Assassin,AOE,Crowd Control,Smoke-Cloud Chiller,collision Area/Target-Only,
S9,Illaoi,1,70,375,Tank,Heal,—,Soul-Link Tank,dmg 375 >= 300,
