Collision,Contact Set (who the action geometrically touches),Effect Recipient (who the effect lands on),Faction filter,Actions using it,Example
Target-Only,"ONLY the unit being aimed at — nothing else on the way is touched. (How it gets there — instant, projectile, beam — is the Action's job, not the collision's.)",Aimed enemy,Enemy only,"Auto-Attack, Homing Projectile, Current Target Laser, Spawn At Target","Kayle's auto-attack; Poppy / Cassiopeia / Samira's homing projectiles; Lux's locked beam; Azir's Sand Soldier. Taliyah's active too - her hitbox spawns ON the target, so nothing crosses the gap and nothing in between can be touched."
First-Hit,The FIRST unit the projectile collides with — may not be the unit aimed at.,First Hit Enemy,Enemy only,First hit Projectile,Projectile stops on the first body it meets. (taxonomy — no Set 9 unit here uses it)
Pierce-All,EVERY unit along the path; the action passes through and does not stop.,Enemies in path  /  Allies in path,Either — set by the row,"Pierce Projectile, Standard Laser, Laser Shot, Charge Into, Knock Back","Kayle's pierce projectile hits enemies in the path; Sona's hits enemies AND buffs allies in the same path (two rows, one action); Sion charges through the cluster and stuns everyone he collides with; Irelia's Laser Shot pierces everyone in front of her; K'Sante's Knock Back is the odd one - the hitbox is the ENEMY he threw, and 'enemies in path' are whoever that flying body ploughs through."
Area,Everyone inside the X-hex circle centred on the target/self hex (X = AOE (hex) column).,Enemies in area  /  Self,Either — set by the row,"Circle AOE, Burst Projectile","Garen, Galio, Katarina, Sion, Jarvan damage enemies in the area; Swain's AOE also heals Self off each enemy it hit."
None,"NO collision — the action projects nothing into the world. A self-cast, a reposition, or catching a projectile that is already coming back. There is nothing to collide with, so the recipient is not derived from geometry: Effect Recipient carries it.",Self,Self only,"Cast (self OR melee strike), Leap, Summon","Kled's self-buffs; Swain's transform; Katarina's dash and Sion's / Jarvan's leap (the damage comes from the Circle AOE step that follows); Darius' and Yasuo's melee strikes - the blade projects no hitbox into the world, so there is nothing to collide with."
(blank),Continuation row: this effect belongs to the merged action instance above it.,Inherits that action instance,Inherits,—,Kayle's MR-shred row under her Pierce Projectile; Swain's 2nd AOE effect row.
Flank-Pair,The one enemy on EACH side of the caster (up to 2). Nothing between or beyond them is touched.,Grabbed enemies,Enemy only,Grab & Slam,"Sett grabs one enemy from either side and slams them together; if only one side is occupied, only that one is grabbed - and the effect is amplified by 50%."
Self,The caster itself. Something WAS projected into the world and the unit it collides with on the way back is the caster.,Self,Self only,Receive Projectile,"Poppy's thrown shield flies back and collides with her, applying the shield. Distinct from None: None means nothing was projected at all (a self-cast, a leap)."
,,,,,
How to read this tab,,,,,
Collision describes GEOMETRY — the set of units the action physically touches on its way out.,,,,,
Effect Recipient is that set narrowed by a faction filter (enemies / allies / self).,,,,,
One Collision can therefore yield different Recipients: Pierce-All -> enemies (Kayle) or allies (Sona);,,,,,
Area -> enemies in area (Garen) or Self (Swain heal). That is why the Hero tab keeps BOTH columns.,,,,,
"Collision is only defined for actions that PROJECT something. A self-cast or a leap touches nothing,",,,,,
"so its Collision is None — ""Self"" is a recipient, not a collision, and Effect Recipient already says it.",,,,,
