Role,What it means,Count,Used by
Tank,"Holds the front line. Does not do much damage; its value is the utility it provides — shields, heals, crowd control, soaking.",39,"Poppy, Galio, Jarvan IV, Kled, Swain, Sion, K'Sante, Thresh, Taric, Zac, Amumu"
Fighter,Fights in the front line and deals a lot of damage. A melee unit that is not built to survive is built to kill.,26,"Garen, Darius, Gwen, Rek'Sai, Bel'Veth, Aatrox, Warwick, Urgot, Olaf, Kayn, Yone"
Mage,"Ranged, and deals its damage with the ABILITY itself. Every Mage is AP (the one exception is Ryze, whose damage scales on Armor + MR).",30,"Sona, Lux, Cassiopeia, Karma, Ahri, Taliyah, Vel'Koz, Annie, Seraphine, Teemo"
Marksman,"Ranged, and deals its damage by ATTACKING — its own auto-attacks or a summon's. USUALLY AD, but NOT a synonym for it: 7 Set 9 Marksmen are AP (see the note below).",31,"Kayle, Samira, Jhin, Akshan, Azir, Ashe, Caitlyn, Jinx, Twitch, Aphelios, Nilah"
Assassin,"Reaches the enemy BACKLINE. The user's definition, and it is about ACCESS, not about being melee or having a dagger.",9,"Katarina, Zed, Yasuo, Ekko, Viego, Qiyana, Graves, Akali, Evelynn"
,,,
How to read this tab,,,
"ONE role per champion — what the unit IS. It sits beside `Damage Type`, which says what it hits with; the two were a single glued value until 2026-07-21 (Set 10's source spells them together as `ADTank`, `APCaster`).",,,
"THIS COLUMN REPLACED THE IMPORTED SOURCE VALUE and is no longer refreshable from it. The source could never answer the question across both sets: Set 9 states only Carry / Tank / Support (3 values) and Set 10 states 13 AD/AP-prefixed variants, so `Role` could not be filtered, grouped or compared until it was normalised onto these five. Set 10's `HighMana` and `Crit` qualifiers were dropped in that collapse; nothing else was lost, because damage type moved into its own column rather than being discarded.",,,
"TANK vs FIGHTER IS A DAMAGE TEST, NOT A CLASS TEST (the user: 'Tank = don't do much damage but provide other utility. Fighter = do damage a lot'). Class does not predict it — K'Sante is a Bastion near the top of the damage ranking and Garen a Juggernaut near the bottom, while Maokai and Taric score zero.",,,
"ASSASSIN IS ABOUT REACHING THE BACK LINE, so a class trait cannot decide it. `Move Behind` alone is not enough — Urgot and Gnar jump into the enemy but, in the user's words, 'most of time they don't reach backline'. A CROWD DIVER IS A FIGHTER, not an assassin. The accepted consequence: Zed and Katarina are Assassins in Set 9 (Rogue) and Fighters in Set 10 (Crowd Diver) — the SET'S OWN TRAIT decides, not the character's reputation.",,,
"A RANGED UNIT CAN NEVER BE Tank / Fighter / Assassin, because all three describe fighting in or through the front line. Range is the arbiter, because it is the one fact that cannot be flavour: the melee-sounding classes are not range-pure (Slayer, Executioner, Challenger, Vanquisher and Edgelord all contain ranged champions, which once made Set 9 Kayle an 'AOE Assassin' at range 4).",,,
"`Support` USED TO BE A SIXTH ROLE AND WAS REMOVED — of the 11 champions carrying it, only 5 targeted an ally at all; the rest (Ashe, Heimerdinger, Lissandra, Milio) were ranged damage dealers with a status effect. What they actually provide is now the `Utility` archetype.",,,
"THE ASSIGNMENTS ARE A HUMAN CALL, not a formula, and VALIDATE can only enforce the spelling. Four champions are stated flatly against the source, which calls the first three tanks and Nilah a melee carry: Warwick (S9) Fighter, Urgot (BOTH sets) Fighter, Olaf (S10) Fighter, Nilah (S9) Marksman.",,,
"MAGE vs MARKSMAN IS NOT THE SAME QUESTION AS 'Damage Type', AND THE TWO DISAGREE FOR 7 CHAMPIONS - all in Set 9, all AP but classed Marksman: Kayle, Azir, Kalista, Kai'Sa, Heimerdinger, Miss Fortune, Gangplank. The reason is historical: the split was derived per set from whatever that set stated, and the two sets state different things. Set 10's source names the damage type outright (ADCaster / APCaster), so its split follows damage. Set 9's source does not, so its split fell back on the CLASS trait - and none of those 7 carries a caster class (Slayer, Strategist, Challenger, Gunner). They are AP-scaling units that fight by attacking, which is a real thing to be; the roles were reviewed and signed off as they stand. FLAGGED, NOT SILENTLY CHANGED - if the intent is that Marksman means AD, these 7 are the rows to move.",,,
"GANGPLANK IS RANGE 1 - MELEE - AND STILL A MARKSMAN, which contradicts the rule above that a ranged unit and a front-line unit are different things. He reached Marksman through his Gunner class rather than through his range. Nilah is the deliberate version of this (range 2, the user's explicit call); Gangplank was never ruled on. FLAGGED.",,,
