Champion,Cost,Role,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Apply,Spawn,Motion,Behavior,Shape,Aim Target,Offset,AOE (hex),Skill Range,Count,Spread,Collision (If it have one),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s),Cast (s)
Kayle,1 Gold,Carry,Demacia,,Slayer,,4,Scaling Auto Attacker,Passive scales with Tactician level. Lvl 1: attacks deal bonus damage. Lvl 6: every 3rd attack launches a wave dealing damage and 20% Shred MR for 3s. Lvl 9: every attack launches a farther wave.,0,Passive,On Attack,Lvl 1-5,Self,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,4,1,—,Target-Only,Same to Aim Target,Attack,Damage,30/45/70% AP,—,—,Once,—,—
,,,,,,,,,,,,On 3rd Attack,Lvl 6-8,,Hitbox,at-User,Projectile,Pierce,1-hex,,—,—,4,,,Pierce-All,Enemies in path,Attack,Damage,30/45/70% AP,—,—,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Enemies in path,Debuff,MR,20%,—,—,Once,3,—
,,,,,,,,,,,,On Attack,Lvl 9+,,,,,,,,,,,,,,Enemies in path (farther),Attack,Damage,30/45/70% AP,—,—,Once,—,—
Poppy,1 Gold,Tank,Demacia,Yordle,Bastion,,1,Shield Tank,"Throw a projectile at an enemy for damage, then shield self when it returns.",1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Homing,1-hex,Current,—,—,1,1,—,Target-Only,Same to Aim Target,Attack,Damage,160/240/360% AP,—,—,Once,—,—
,,,,,,,,,,2,Active,After Cast (return),—,Self,Hitbox,at-User,Projectile,Returning,1-hex,Self,—,—,1,1,—,Self,Same to Aim Target,Buff,Shield,250/325/400% AP,—,—,Once,4,—
Galio,2 Gold,Tank,Demacia,,Invoker,,1,AOE Damage Tank,"Channel for 2s reducing incoming damage and healing self; on finish, deal circular AOE damage.",1,Active,While Channeling,—,Self,DirectApply,—,—,—,—,Self,—,—,1,—,—,None,Same to Aim Target,Buff,Heal,300/350/400% AP,—,—,Every 0.5s,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,Same to Aim Target,Buff,Damage Reduction,25/25/35%,—,—,Once,,—
,,,,,,,,,,2,Active,After Cast,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,2,1,1,—,Area,Enemies in area,Attack,Damage,200/300/450% AP,—,—,Once,—,—
Garen,3 Gold,Carry,Demacia,,Juggernaut,,1,Beyblade Juggernaut,"Spin like a beyblade for 4s, dealing circular AOE damage over time.",1,Active,On Cast,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,1,1,1,—,Area,Enemies in area,Attack,Damage,80/82/85% AD,Per Tick,per spin,Every spin,4,4
Sona,3 Gold,Support,Demacia,,Multicaster,,4,AOE Spell Spammer,Send a wave at the clustered enemy; damage falls off per enemy hit. Allies hit are buffed instead.,1,Active,On Cast,—,Self,Hitbox,at-User,Projectile,Pierce,1-hex,Clustered,—,2,4,1,—,Pierce-All,Enemies in path,Attack,Damage,170/255/420% AP,Falloff per hit,−33% per hit,Once,—,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,Allies in path,Buff,Attack Speed,20/25/35%,—,—,Once,Permanent,—
Jarvan IV,4 Gold,Tank,Demacia,,Strategist,,1,AOE Stun Tank,Leap into the clustered enemy; on landing deal circular AOE damage and Stun.,1,Active,On Cast,—,Self,DirectApply,—,—,—,—,Clustered,—,—,1,—,—,None,Self,Movement,(reposition),—,—,—,—,—,—
,,,,,,,,,,2,Active,After Leap,—,Self,Hitbox,at-Target,—,—,circle,Self,centred,2,1,1,—,Area,Enemies in area,Attack,Damage,140/210/800% AP,—,—,Once,—,—
