Spread,What it means,Aims around,Used by,Clarify more
—,"Not applicable - a single instance, so there is nothing to arrange.",The Aim Target,Every action with Count = 1,"The default. Must be an em-dash, never blank: blank would read as 'unknown' rather than 'there is only one instance'."
Same target,Every instance converges on the ONE aim target.,The Aim Target,"Akshan (6 shots), Azir (3 Soldiers strike), Gwen (3 snips)","Multiplicity with no geometry - it is a burst of repeats, not a shape. Each instance is a SEPARATE hitbox, so the target is hit once per instance, and one can miss while another lands. Contrast 'Current + Left + Right', whose instances SHARE one hitbox. And do not confuse this with an Amount: Kalista fires ONE projectile that lands 6 Impale stacks, so she is Count 1 - see 'Note - Count vs Amount'."
Cone,The instances fan out in a cone in front of the caster.,The Aim Target,Ashe (8 arrows),"The cone is an emergent shape, NOT a hitbox: there is no cone collider. Each arrow is its own First hit Projectile and stops on the first body in ITS lane - which is why a wide cone can still miss. A cone is NEVER a hitbox anywhere in this sheet. The only other thing that looks like one is Gwen's Sweep Laser, and that is a LINE sweeping sideways - the cone is just the shape its path leaves behind. (An earlier version of this row claimed Gwen's cone was a real collider; that was wrong.)"
Current + Left + Right,"One instance at the current target, one at the enemy to its LEFT, one to its RIGHT.",The Aim Target + its 2 neighbours,Karma (3rd cast),"Deliberately not three on the same target, which would be overpowered. All three share ONE hitbox, so an enemy caught by two of them is not damaged twice - the opposite of 'Same target'."
Each to its own target,The instances do NOT converge and form no shape - each one goes to its own target.,"One aim per instance, re-picked as it fires","Soraka (5 stars, over 5s)","Named for WHERE the instances go, like every other spread. What is unusual is WHEN the aim is decided: each of Soraka's stars asks again 'which enemy is closest to the healed ally NOW?', and over 5 seconds the board moves, so star 5 can land on a different enemy than star 1. Contrast 'Same target', which fixes one target at cast and sends every instance there regardless. (This was called 'Re-picked per instance' - a WHEN answer wearing a WHERE column's clothes, which is why it never sat right.)"
360° radial,One instance expanding from the caster in ALL directions at once.,Self - it is not aimed at anything,Ahri (2nd-cast wave),"Count stays 1: it is a single expanding hitbox, not N instances. It earns a Spread anyway because the arrangement is what makes it un-aimed - the hitbox is large enough to reach the whole board, so Aim Target = Self and Recipient = All enemies."
Split across nearest N,"The Count instances are DIVIDED among the N nearest enemies - not all on one, and not re-picked freely.",The N nearest enemies,Kai'Sa (15/15/25 missiles across the 4 nearest),"Distinct from 'Same target' (every instance converges on ONE) and from 'Each to its own target' (each instance re-picks its own aim as it fires). Here a FIXED set of N targets splits a larger pool of instances between them, so each of the N is hit roughly Count/N times."
Diagonal to Action Source,The instances fire on DIAGONALS from the ACTION SOURCE - not from the caster.,The action source's position,Vel'Koz (2 pierce bolts split off his first-hit projectile),"The only spread measured from a PROJECTILE rather than the champion: Vel'Koz's first-hit bolt becomes the action source, and when it lands two pierce projectiles split diagonally off it. Every other spread is arranged around the caster's Aim Target."
,,,,
How to read this tab,,,,
"Spread answers one question: given Count instances of a single Action, WHERE do they go?",,,,
"It is orthogonal to the Action. Ashe (Cone) and Akshan (Same target) fire the exact same Action - First hit Projectile - and differ only in arrangement, which is why Spread is its own tab rather than a property of the Action. The Action's own decomposition lives in 'Action Templates'.",,,,
"Count = 1 means Spread is an em-dash: a single instance has nothing to arrange. The one exception is 360° radial - a single expanding hitbox whose ARRANGEMENT is still what makes it un-aimed (Aim Target = Self, Recipient = All enemies).",,,,
