Offset,What it means,Used by,Clarify more
—,"NOTHING TO PLACE: this action projects no hitbox at all, so there is no anchor to state and none to look up.","Every DirectApply action: Cast, Move, Move Behind, Summon, Summon (untethered), Bonus on AA, Knock Back, Current Target Laser.","Must be an em-dash, never blank: a blank cell means 'same as the row above'. Distinct from 'default', and the distinction is the point - see THE RULE below."
default,"THE ACTION'S OWN ANCHOR APPLIES - look it up in the 'Action Model' tab's Offset column for this row's action. The fact lives there, once, and this cell points at it.","52 rows: Charge, Cone AOE, Laser Shot, Sweep Laser, QuickAA, Grab & Slam, Spawn At Target, Receive Projectile and every projectile (Gilgamesh Projectile's is 'rank -1', the rest are 'centred').","THIS SPLIT IS THE WHOLE POINT, and it was the user's call. Both meanings wore the em-dash until 2026-07-17: 'no hitbox at all' and 'the action fixes it'. One symbol for two facts meant NO CHECK COULD TELL THEM APART - a row where someone simply forgot the size looked exactly like a correct one. Now the mapping is exact in both directions and validate_data() enforces it: em-dash <-> the tab says em-dash; default <-> the tab fixes a value; a real value <-> the tab says 'per row'. Same class of fix as Zone AOE vs Circle AOE: two different facts had been reading identically."
centred,The hitbox sits ON its derived centre - the shape is not displaced from it.,"HERO (per-row): Circle AOE, Zone AOE, Custom AOE. ACTION-FIXED: Charge, QuickAA, Grab & Slam, Spawn At Target, every projectile.",The default for anything round. Note the centre itself is NOT this column's business: see 'OFFSET PLACES THE HITBOX' below.
rear edge,The shape's origin is at its NEAR end and the body of it grows AWAY from the caster.,"HERO (per-row): Box AOE (Aatrox). ACTION-FIXED: Cone AOE, Laser Shot, Sweep Laser.","A cone anchors here - its origin is the caster's hex at the narrow end: xxx / x / o. Cone AOE rows in Hero said 'rear edge' until 2026-07-17, restating what the action already fixed; they read '—' now."
front edge,"The shape's FAR end sits on the centre, so the body of it falls back TOWARD the caster.",NOT YET USED - here to show the rule,"Read the rule, not an example - see the cone warning below."
detached +1,The hitbox is clear of its centre entirely: 1 hex TOWARD the aim.,NOT YET USED - here to show the rule,Signed - see 'SIGNED N' below.
rank -1,"The Count instances are arrayed in a ROW, 1 hex BEHIND the caster: each fires from its own slot, down its own lane.",ACTION-FIXED: Gilgamesh Projectile (Xayah's 7/7/15 feathers),"The lane is the point, and it is testable: because each feather starts in a different slot and they all converge on ONE target ('Spread = Same target'), they arrive at different angles and carry on through at different angles - so a Pierce that starts as a neat rank FANS OUT behind the target. That is why the rank is data and not decoration. It is an ARRANGEMENT, so it names one - contrast 'Spread', which says where the instances GO (they still go to the same target); this says where they START. It was briefly a per-row Offset on a Pierce Projectile, which made THAT action's fixed 'centred' a lie for Jhin, Sona and Quinn; it is its own action now."
,,,
How to read this tab,,,
"THE RULE - who states the anchor. Read the action's Offset in 'Action Model' and the Hero cell follows from it, exactly, with no third option:   tab says '—' -> Hero says '—' (no hitbox exists);   tab fixes a value -> Hero says 'default' (the action owns it);   tab says 'per row' -> Hero MUST state a real value (Circle AOE, Box AOE, Zone AOE, Custom AOE - only the action's SIZE and anchor vary, and no lookup can carry them).",,,
"AND IT RUNS BOTH WAYS, which is why 'default' exists at all. A rule you cannot check is a rule that rots: while 'action-fixed' also wrote an em-dash, a row that had simply LOST its value was indistinguishable from a correct one. Now every hitbox row is verifiable, and validate_data() does verify it. The em-dash means 'there is nothing to say'; 'default' means 'it is said elsewhere'. Never use one for the other.",,,
"Every Offset cell in Hero is a KEY here, and so is every Offset cell in 'Action Model' (TAB_VOCAB) - because most anchors now live on the ACTION, and a value no Hero row uses (Gilgamesh Projectile's 'rank -1') would otherwise be checked by nothing at all.",,,
"WHY THIS TAB EXISTS: Offset was the LAST geometry column with no vocabulary. AOE (hex), Trigger, Spread, Effect Recipient and Scaling Type all had one; Offset did not, so nothing could catch a sentence in it. It was nearly given one - 'spawn projectile behind her, and line them up in a row' - which is exactly what a column looks like the moment before it becomes prose. That is the same road AOE (hex) went down when it held '4 (1 hex at range 1, 3 at range 2)' and 'Gwen-shaped'.",,,
"SIGNED N: '+N' is N hexes TOWARD the aim; '-N' is N hexes BEHIND the caster. The number is part of the KEY, so add the literal row you need (rank -2, detached +3) - exactly like 'Circle N hex' on the AOE shape tab, where every size in use is its own row.",,,
"OFFSET PLACES THE HITBOX; IT DOES NOT AIM IT. WHERE the centre is comes from Action Source + Aim Target (the caster's hex when Aim = Self, the target's otherwise). This column only says where the shape sits relative to that centre.",,,
"DO NOT DEFINE A VALUE USING A CONE AS ITS EXAMPLE. 'front edge' was once defined that way, and every cone row in Hero copied the example instead of reading the rule: all four said 'front edge' when a cone anchors at its 'rear edge'. A legend whose example contradicts its own rule teaches the error, and it survived a long time.",,,
