Set,Champion,Cost,Role,Origin 1,Origin 2,Class 1,Class 2,Range,Summary,Skill Description,Step,Skill Type,Trigger (When),Condition (Only if),Action Source,Legacy action,Aim Target,Offset,AOE (hex),Skill Range,Count,Volley Shape,Fire Timing,Cast (s),Effect Recipient,Effect Category,Effect Detail,Amount,Scaling Type,Scaling,Effect Cadence,Effect Duration (s),Action group
Set 9,Kayle,1 Gold,Carry,Demacia,,Slayer,,4,Scaling Auto Attacker,Passive scales with Tactician level. Lvl 1: attacks deal bonus damage. Lvl 6: every 3rd attack launches a wave dealing damage and 20% Shred MR for 3s. Lvl 9: every attack launches a farther wave.,0.1,Passive,On Attack,Lvl 1-5,Self,Bonus on AA,Current,—,—,4,1,—,—,—,Same to Aim Target,Attack,Damage,30/45/70% AP,—,—,Once,—,On-Hit
Set 9,Kayle,1 Gold,Carry,Demacia,,Slayer,,4,Scaling Auto Attacker,Passive scales with Tactician level. Lvl 1: attacks deal bonus damage. Lvl 6: every 3rd attack launches a wave dealing damage and 20% Shred MR for 3s. Lvl 9: every attack launches a farther wave.,0.1,Passive,On 3rd Attack,Lvl 6-8,Self,Pierce Projectile,Current,default,unknown,4,1,—,—,—,Enemies in path,Attack,Damage,30/45/70% AP,—,—,Once,—,Projectile
Set 9,Kayle,1 Gold,Carry,Demacia,,Slayer,,4,Scaling Auto Attacker,Passive scales with Tactician level. Lvl 1: attacks deal bonus damage. Lvl 6: every 3rd attack launches a wave dealing damage and 20% Shred MR for 3s. Lvl 9: every attack launches a farther wave.,0.1,Passive,On 3rd Attack,Lvl 6-8,Self,Pierce Projectile,Current,default,unknown,4,1,—,—,—,Enemies in path,Debuff,MR,20%,—,—,Once,3,Projectile
Set 9,Kayle,1 Gold,Carry,Demacia,,Slayer,,4,Scaling Auto Attacker,Passive scales with Tactician level. Lvl 1: attacks deal bonus damage. Lvl 6: every 3rd attack launches a wave dealing damage and 20% Shred MR for 3s. Lvl 9: every attack launches a farther wave.,0.1,Passive,On Attack,Lvl 9+,Self,Pierce Projectile,Current,default,unknown,4,1,—,—,—,Enemies in path (farther),Attack,Damage,30/45/70% AP,—,—,Once,—,Projectile
Set 9,Poppy,1 Gold,Tank,Demacia,Yordle,Bastion,,1,Shield Tank,"Throw a projectile at an enemy for damage, then shield self when it returns.",1,Active,On Cast,—,Self,Homing Projectile,Current,default,default,1,1,—,—,—,Same to Aim Target,Attack,Damage,160/240/360% AP,—,—,Once,—,Projectile
Set 9,Poppy,1 Gold,Tank,Demacia,Yordle,Bastion,,1,Shield Tank,"Throw a projectile at an enemy for damage, then shield self when it returns.",2,Active,After Step 1,—,Self,Receive Projectile,Self,default,default,1,1,—,—,—,Same to Aim Target,Buff,Shield,250/325/400% AP,—,—,Once,4,Projectile
Set 9,Galio,2 Gold,Tank,Demacia,,Invoker,,1,AOE Damage Tank,"Channel for 2s reducing incoming damage and healing self; on finish, deal circular AOE damage.",1,Active,While Channeling,—,Self,Cast,Self,—,—,1,—,—,—,2,Same to Aim Target,Buff,Heal,300/350/400% AP,—,—,Every 0.5s,2,Direct
Set 9,Galio,2 Gold,Tank,Demacia,,Invoker,,1,AOE Damage Tank,"Channel for 2s reducing incoming damage and healing self; on finish, deal circular AOE damage.",1,Active,While Channeling,—,Self,Cast,Self,—,—,1,—,—,—,2,Same to Aim Target,Buff,Damage Reduction,25/25/35%,—,—,Once,2,Direct
Set 9,Galio,2 Gold,Tank,Demacia,,Invoker,,1,AOE Damage Tank,"Channel for 2s reducing incoming damage and healing self; on finish, deal circular AOE damage.",2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Attack,Damage,200/300/450% AP,—,—,Once,—,AOE
Set 9,Garen,3 Gold,Carry,Demacia,,Juggernaut,,1,Beyblade Juggernaut,"Spin like a beyblade for 4s, dealing circular AOE damage over time.",1,Active,On Cast,—,Self,Zone AOE,Self,centred,Circle 1 hex,1,1,—,—,4,Enemies in area,Attack,Damage,80/82/85% AD,Per Tick,per spin,Every spin,4,AOE
Set 9,Sona,3 Gold,Support,Demacia,,Multicaster,,4,AOE Spell Support,Send a wave at the clustered enemy; damage falls off per enemy hit. Allies hit are buffed instead.,1,Active,On Cast,—,Self,Pierce Projectile,Clustered,default,Box 1.5x2,4,1,—,—,—,Enemies in path,Attack,Damage,170/255/420% AP,Falloff per hit,−33% per hit,Once,—,Projectile
Set 9,Sona,3 Gold,Support,Demacia,,Multicaster,,4,AOE Spell Support,Send a wave at the clustered enemy; damage falls off per enemy hit. Allies hit are buffed instead.,1,Active,On Cast,—,Self,Pierce Projectile,Clustered,default,Box 1.5x2,4,1,—,—,—,Allies in path,Buff,Attack Speed,20/25/35%,—,—,Once,Permanent,Projectile
Set 9,Jarvan IV,4 Gold,Tank,Demacia,,Strategist,,1,AOE Stun Tank,Leap into the clustered enemy; on landing deal circular AOE damage and Stun.,1,Active,On Cast,—,Self,Move,Clustered,—,—,1,—,—,—,—,Self,Movement,(reposition),—,—,—,—,—,Movement
Set 9,Jarvan IV,4 Gold,Tank,Demacia,,Strategist,,1,AOE Stun Tank,Leap into the clustered enemy; on landing deal circular AOE damage and Stun.,2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Attack,Damage,140/210/800% AP,—,—,Once,—,AOE
Set 9,Jarvan IV,4 Gold,Tank,Demacia,,Strategist,,1,AOE Stun Tank,Leap into the clustered enemy; on landing deal circular AOE damage and Stun.,2,Active,After Step 1,—,Self,Circle AOE,Self,centred,Circle 2 hex,1,1,—,—,—,Enemies in area,Status,Stun,—,—,—,Once,1.5/2/8,AOE
Set 9,Lux,4 Gold,Carry,Demacia,,Sorcerer,,4,Laser Spell Spammer,"Laser the current target for 3s, dealing damage over time and shredding MR over time.",1,Active,On Cast,—,Self,Current Target Laser,Current,—,default,4,1,—,—,3,Same to Aim Target,Attack,Damage,735/1100/2750% AP,—,—,Every 0.5s,3,Beam
Set 9,Lux,4 Gold,Carry,Demacia,,Sorcerer,,4,Laser Spell Spammer,"Laser the current target for 3s, dealing damage over time and shredding MR over time.",1,Active,On Cast,—,Self,Current Target Laser,Current,—,default,4,1,—,—,3,Same to Aim Target,Debuff,MR,15/15/40 /s,—,—,Every 0.5s,3,Beam
Set 9,Cassiopeia,1 Gold,Carry,Noxus,Shurima,Invoker,,4,Single-Target Spell Spammer,Damage the current target and Wound it; the damage is amplified if the target is already Wounded.,1,Active,On Cast,If Target Wounded,Self,Homing Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,160/240/360% AP,Conditional Bonus,+30% if Wounded,Once,—,Projectile
Set 9,Cassiopeia,1 Gold,Carry,Noxus,Shurima,Invoker,,4,Single-Target Spell Spammer,Damage the current target and Wound it; the damage is amplified if the target is already Wounded.,1,Active,On Cast,If Target Wounded,Self,Homing Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Status,Wound,—,—,—,Once,5,Projectile
Set 9,Samira,1 Gold,Carry,Noxus,,Challenger,,4,Single-Target Shred Marksman,Shoot the current target for damage and permanently shred a flat amount of DEF.,1,Active,On Cast,—,Self,First hit Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Attack,Damage,190/190/200% AD,—,—,Once,—,Projectile
Set 9,Samira,1 Gold,Carry,Noxus,,Challenger,,4,Single-Target Shred Marksman,Shoot the current target for damage and permanently shred a flat amount of DEF.,1,Active,On Cast,—,Self,First hit Projectile,Current,default,default,4,1,—,—,—,Same to Aim Target,Debuff,DEF,10/15/20,Derived,+AP,Once,Permanent,Projectile
Set 9,Kled,2 Gold,Tank,Noxus,Yordle,Slayer,,1,AA Juggernaut,"Passive: start with +30% bonus HP; when it expires, gain a permanent stacking Attack Speed boost. Active: gain new bonus HP.",0.1,Passive,Game Start,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,30% max HP,—,—,Once,—,Direct
Set 9,Kled,2 Gold,Tank,Noxus,Yordle,Slayer,,1,AA Juggernaut,"Passive: start with +30% bonus HP; when it expires, gain a permanent stacking Attack Speed boost. Active: gain new bonus HP.",0.2,Passive,On Bonus-HP Expire,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Attack Speed,65/70/75% AP,Stacking,stacking,Once,Permanent,Direct
Set 9,Kled,2 Gold,Tank,Noxus,Yordle,Slayer,,1,AA Juggernaut,"Passive: start with +30% bonus HP; when it expires, gain a permanent stacking Attack Speed boost. Active: gain new bonus HP.",1,Active,On Cast,—,Self,Cast,Self,—,—,1,—,—,—,—,Same to Aim Target,Buff,Bonus HP,30% max HP,—,—,Once,—,Direct
Set 9,Swain,2 Gold,Tank,Noxus,,Strategist,Sorcerer,2,Transforming AOE Tank,"Transform to gain bonus max HP, then deal circular AOE magic damage over time. If already transformed, gain more HP and deal a burst.",1,Active,On Cast,If not Transformed,Self,Cast,Self,—,—,2,—,—,—,—,Same to Aim Target,Buff,Bonus HP,325/375/550% AP,—,—,Once,—,Direct
Set 9,Swain,2 Gold,Tank,Noxus,,Strategist,Sorcerer,2,Transforming AOE Tank,"Transform to gain bonus max HP, then deal circular AOE magic damage over time. If already transformed, gain more HP and deal a burst.",1,Active,On Cast,If Already Transformed,Self,Circle AOE,Self,centred,unknown,2,1,—,—,—,Same to Aim Target,Buff,Bonus HP,225/260/385% AP,—,—,Once,—,AOE
Set 9,Swain,2 Gold,Tank,Noxus,,Strategist,Sorcerer,2,Transforming AOE Tank,"Transform to gain bonus max HP, then deal circular AOE magic damage over time. If already transformed, gain more HP and deal a burst.",1,Active,On Cast,If Already Transformed,Self,Circle AOE,Self,centred,unknown,2,1,—,—,—,Enemies in area,Attack,Damage,100/160/300% AP,Burst,burst,Once,—,AOE
Set 9,Swain,2 Gold,Tank,Noxus,,Strategist,Sorcerer,2,Transforming AOE Tank,"Transform to gain bonus max HP, then deal circular AOE magic damage over time. If already transformed, gain more HP and deal a burst.",0.1,Passive,When Transformed,—,Self,Zone AOE,Self,centred,unknown,2,1,—,—,—,Enemies in area,Attack,Damage,25/40/60% AP,Per Tick,per second,Every 0.5s,—,AOE
